,Start_blink,End_blink,Blink_frame,No_of_frames
1008,70235,70238,70237,3
1009,70255,70258,70256,3
1010,70308,70311,70310,3
1011,70325,70327,70326,2
1012,70344,70348,70347,4
1013,70375,70379,70376,4
1014,70420,70423,70420,3
1015,70444,70446,70445,2
1016,70479,70481,70480,2
1017,70493,70497,70495,4
1018,70528,70531,70529,3
1019,70557,70561,70558,4
1020,70668,70672,70671,4
1021,70737,70740,70738,3
1022,70774,70780,70778,6
1023,70855,70858,70856,3
1024,70869,70872,70869,3
1025,70944,70947,70945,3
1026,71109,71111,71110,2
1027,71153,71156,71155,3
1028,71190,71194,71193,4
1029,71218,71221,71220,3
1030,71263,71267,71264,4
1031,71292,71294,71293,2
1032,71324,71326,71325,2
1033,71428,71432,71429,4
1034,71438,71441,71439,3
1035,71588,71590,71589,2
1036,71654,71656,71655,2
1037,71734,71736,71735,2
1038,71768,71770,71769,2
1039,71778,71779,71778,1
1040,72007,72008,72007,1
1041,72113,72115,72113,2
1042,72149,72152,72150,3
1043,72208,72212,72210,4
1044,72235,72238,72237,3
1045,72245,72249,72246,4
1046,72305,72308,72306,3
1047,72329,72335,72330,6
1048,72369,72372,72370,3
1049,72391,72397,72393,6
1050,72421,72424,72421,3
1051,72446,72450,72447,4
1052,72522,72525,72522,3
1053,72683,72686,72684,3
1054,72711,72713,72712,2
1055,72808,72810,72809,2
1056,72859,72862,72860,3
1057,72920,72923,72921,3
1058,73025,73027,73025,2
1059,73071,73072,73071,1
1060,73184,73186,73184,2
1061,73317,73320,73318,3
