,Start_blink,End_blink,Blink_frame,No_of_frames
724,68335,68339,68335,4
725,68381,68392,68381,11
726,68431,68434,68431,3
727,68642,68647,68642,5
728,68672,68684,68674,12
729,68765,68769,68767,4
730,68822,68827,68825,5
731,68901,68906,68902,5
732,68940,68944,68940,4
733,68984,68986,68984,2
734,69040,69043,69040,3
735,69065,69070,69067,5
736,69108,69111,69108,3
737,69139,69144,69141,5
738,69241,69245,69241,4
739,69286,69290,69288,4
740,69300,69304,69302,4
741,69423,69445,69423,22
742,69446,69450,69446,4
743,69583,69586,69583,3
744,69634,69638,69634,4
745,69693,69698,69695,5
746,69710,69714,69712,4
747,69770,69774,69770,4
748,69853,69859,69855,6
749,69893,69899,69893,6
750,69990,69996,69993,6
751,70052,70056,70052,4
752,70070,70075,70072,5
753,70127,70134,70129,7
754,70172,70177,70174,5
755,70238,70241,70238,3
756,70300,70303,70300,3
757,70363,70366,70363,3
758,70415,70418,70415,3
759,70508,70513,70510,5
760,70585,70588,70585,3
761,70636,70638,70636,2
762,70748,70751,70748,3
763,70774,70776,70774,2
764,70901,70907,70901,6
765,71043,71046,71043,3
766,71059,71066,71059,7
767,71099,71103,71100,4
768,71127,71131,71127,4
769,71154,71159,71155,5
770,71200,71205,71200,5
771,71275,71282,71277,7
772,71362,71367,71365,5
773,71382,71387,71384,5
774,71507,71514,71510,7
775,71534,71537,71534,3
776,71563,71566,71563,3
777,71605,71610,71607,5
778,71643,71648,71646,5
779,71727,71732,71729,5
780,72101,72107,72104,6
781,72244,72251,72247,7
782,72483,72485,72483,2
783,72697,72739,72699,42
784,72995,73082,72995,87
785,73257,73263,73257,6
786,73419,73450,73419,31
787,74385,74416,74385,31
788,74451,74466,74451,15
