FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
928,0.35410399211572285,0.3254436570283903,0.33977382457205657,[0.49702138 0.4630174 ],[0.5033108  0.45345315],[0.51075298 0.45155621],[0.51852393 0.45589969],[0.51089507 0.45937383],[0.50354707 0.46167174],0.4750935137271881,0.49748465418815613,1663315644700
929,0.35488829221446716,0.26202093656328784,0.3084546143888775,[0.49739677 0.46016762],[0.50348341 0.45020628],[0.51086384 0.4482941 ],[0.51850843 0.45303589],[0.51069659 0.45598686],[0.5035342  0.45832801],0.4760299324989319,0.4939497709274292,1663315644732
930,0.3464466177810238,0.3704855787139428,0.3584660982474833,[0.49686453 0.46189302],[0.50279462 0.45235994],[0.50995177 0.45061091],[0.51749444 0.45465806],[0.51003224 0.45786563],[0.5030846  0.46024734],0.474401593208313,0.4958938956260681,1663315644762
931,0.3442333851857749,0.2750257578910549,0.30962957153841486,[0.49855667 0.45936513],[0.50467497 0.45026737],[0.51192987 0.44852266],[0.51955217 0.45289546],[0.51209688 0.45586056],[0.50497389 0.45804724],0.4764842092990875,0.4924498498439789,1663315644792
932,0.34597302328288415,0.3541882622541667,0.35008064276852546,[0.49848703 0.46155167],[0.50440556 0.45191944],[0.51164812 0.45010114],[0.51935387 0.45459619],[0.51171714 0.45749584],[0.50467563 0.45973948],0.4750605821609497,0.49519383907318115,1663315644829
933,0.34625973392900733,0.3316811379105752,0.33897043591979126,[0.50077105 0.46221718],[0.50673795 0.45313016],[0.51396477 0.45151153],[0.52167809 0.45630792],[0.51399481 0.45886895],[0.50691921 0.46081629],0.47720277309417725,0.4952518045902252,1663315644860
934,0.3237105156473706,0.3660011332545809,0.34485582445097573,[0.50180703 0.46274519],[0.50781816 0.45394552],[0.51491678 0.45215243],[0.52258748 0.45648471],[0.51490003 0.45905089],[0.50788039 0.46109775],0.47777506709098816,0.49500033259391785,1663315644893
935,0.37798175380646976,0.37276968236238794,0.3753757180844288,[0.50344181 0.46203741],[0.50948024 0.45210925],[0.51698196 0.45017374],[0.52498674 0.45565358],[0.51695257 0.45863354],[0.50963366 0.46063513],0.4795958995819092,0.49268344044685364,1663315644923
936,0.37266658228835353,0.37527918796501114,0.37397288512668236,[0.50430512 0.46234649],[0.51059377 0.4529106 ],[0.51794517 0.45124501],[0.52553219 0.45606869],[0.51786286 0.45943347],[0.51057911 0.46122035],0.4801672399044037,0.4942631125450134,1663315644957
937,0.3823046990881403,0.30813646042086246,0.3452205797545014,[0.50521642 0.46042943],[0.51185459 0.45112199],[0.51943719 0.44992536],[0.52711451 0.45533168],[0.51942438 0.45830727],[0.51191223 0.45993108],0.48205259442329407,0.49039697647094727,1663315644989
938,0.3926176383621008,0.3449888939304164,0.3688032661462586,[0.50501341 0.4590131 ],[0.51169991 0.44964042],[0.51940304 0.44841209],[0.52706903 0.45399621],[0.51933873 0.4570989 ],[0.51173759 0.45871454],0.48253580927848816,0.4877476990222931,1663315645016
939,0.3866165436824622,0.35088430903749207,0.3687504263599771,[0.50460768 0.4586629 ],[0.51148003 0.44961408],[0.51909184 0.44842172],[0.52654546 0.45364964],[0.51888043 0.4570272 ],[0.51132756 0.45840499],0.48199549317359924,0.49064940214157104,1663315645050
940,0.3684821953206832,0.37017033728869153,0.36932626630468735,[0.50430113 0.46067908],[0.51119679 0.45143923],[0.51879662 0.45039254],[0.52617031 0.45570025],[0.51848119 0.45849514],[0.51098633 0.45985708],0.48118099570274353,0.494361013174057,1663315645083
941,0.36110114271820215,0.3489791088914074,0.35504012580480476,[0.50406474 0.46177399],[0.51107895 0.45241943],[0.51876831 0.45111963],[0.52615565 0.45631739],[0.51836878 0.45927155],[0.51081276 0.46068704],0.4806591272354126,0.4948597252368927,1663315645118
942,0.35890891227160393,0.36135566311031836,0.3601322876909612,[0.50430036 0.46123731],[0.51099694 0.4521845 ],[0.51863813 0.45068848],[0.52641064 0.4560073 ],[0.51852471 0.4587948 ],[0.51097727 0.46038648],0.48146677017211914,0.49208298325538635,1663315645150
943,0.3686337795614896,0.36600860578658406,0.36732119267403684,[0.503474  0.4599947],[0.51034111 0.45087796],[0.51807618 0.44941184],[0.5257839  0.45478368],[0.51802379 0.45778236],[0.5103581  0.45939836],0.4813764691352844,0.49096953868865967,1663315645176
944,0.3670708235445191,0.3620784796128812,0.36457465157870017,[0.50335616 0.4580968 ],[0.50976682 0.44864902],[0.51738203 0.44708687],[0.52506953 0.45279223],[0.5171541  0.45526212],[0.50973165 0.45688   ],0.48029643297195435,0.488946795463562,1663315645206
945,0.3711620949434345,0.4025832101148163,0.3868726525291254,[0.50148481 0.45753729],[0.50817382 0.44789889],[0.51587462 0.44646138],[0.5235281  0.45204654],[0.51571298 0.45474827],[0.50819898 0.45647365],0.4795334041118622,0.4880205988883972,1663315645235
946,0.37489079999077796,0.39046267001580964,0.3826767350032938,[0.50054234 0.45686942],[0.5073275  0.44709706],[0.51510799 0.44549018],[0.52272224 0.45101476],[0.51487315 0.45403272],[0.50724107 0.45575055],0.47865116596221924,0.48680493235588074,1663315645270
947,0.3259406100481632,0.42955722262366036,0.3777489163359118,[0.4998199  0.45442373],[0.50587255 0.44518858],[0.51326799 0.44357806],[0.52091521 0.44856235],[0.51288253 0.45066181],[0.50586909 0.45236695],0.47636881470680237,0.48701488971710205,1663315645303
948,0.33474346532333554,0.4417472522111834,0.38824535876725946,[0.49880558 0.45534837],[0.50477302 0.44627056],[0.51215327 0.4448365 ],[0.51996684 0.45024508],[0.5118686  0.45207152],[0.50483668 0.453603  ],0.4757728576660156,0.4885963499546051,1663315645335
949,0.3081211014747553,0.4018092477395596,0.3549651746071575,[0.49861354 0.45697737],[0.50438178 0.44810528],[0.51166642 0.44632381],[0.51958823 0.45135853],[0.51143754 0.45303524],[0.50449306 0.45477027],0.4761342406272888,0.4909006357192993,1663315645363
950,0.3309871002244032,0.3981751445367063,0.36458112238055473,[0.49900267 0.45529142],[0.50460857 0.4460097 ],[0.51192534 0.44438064],[0.51982689 0.44997936],[0.51159042 0.45148131],[0.50469941 0.45312709],0.47520655393600464,0.4869134724140167,1663315645394
951,0.34035615712032935,0.4448629203289008,0.39260953872461507,[0.497697   0.45704609],[0.50361508 0.44801751],[0.51084059 0.44650969],[0.51859134 0.45223409],[0.51060921 0.4538247 ],[0.50361019 0.45529419],0.4738304913043976,0.48880109190940857,1663315645425
952,0.3218964943892463,0.40464839577950007,0.3632724450843732,[0.49712688 0.45381525],[0.5030297  0.44503489],[0.51022518 0.44370618],[0.51788384 0.44899434],[0.51007253 0.45042059],[0.50318092 0.45203599],0.4731374979019165,0.48544275760650635,1663315645460
