,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
112,VIDEO_18112022160702_1668767822994_EAR.csv,0,16,6.12500,0.05444,0.40619,2.1672,0.0221,0.0174,1.0000,0.0253,0.0000,0.21875,0.004837566674056
113,VIDEO_18112022160802_1668767882000_EAR.csv,0,27,4.03704,0.06056,0.41837,2.7615,0.0253,0.0215,1.0000,0.0253,1.0000,0.144179894179894,0.00365273336692
114,VIDEO_18112022160900_1668767940997_EAR.csv,0,30,4.60000,0.07667,0.42254,4.4705,0.0324,0.0248,1.0000,0.0253,1.0000,0.164285714285714,0.005322027051928
115,VIDEO_18112022161000_1668768000148_EAR.csv,0,23,3.56522,0.04556,0.43466,1.6237,0.0198,0.0249,0.0000,0.0253,0.0000,0.127329192546584,0.002521274568903
116,VIDEO_18112022161059_1668768059146_EAR.csv,0,19,5.31579,0.05611,0.38625,2.1889,0.0217,0.0248,0.0000,0.0252,0.0000,0.18984962406015,0.004114564116634
117,VIDEO_18112022161158_1668768118001_EAR.csv,0,24,2.91667,0.03889,0.41407,1.1272,0.0161,0.0225,0.0000,0.0252,0.0000,0.104166666666667,0.001677353342273
118,VIDEO_18112022161257_1668768177130_EAR.csv,0,32,2.96875,0.05278,0.42753,2.1436,0.0226,0.0200,1.0000,0.0251,0.0000,0.106026785714286,0.00239240622074
119,VIDEO_18112022161355_1668768235993_EAR.csv,0,45,4.35556,0.10889,0.38664,8.2518,0.0421,0.0256,1.0000,0.0253,1.0000,0.155555555555556,0.006549012886854
120,VIDEO_18112022161454_1668768294996_EAR.csv,0,30,8.30000,0.13833,0.35614,12.2674,0.0493,0.0325,1.0000,0.0255,1.0000,0.296428571428571,0.014604038372418
121,VIDEO_18112022161553_1668768353996_EAR.csv,0,20,4.15000,0.04611,0.40787,1.5610,0.0188,0.0332,0.0000,0.0254,0.0000,0.148214285714286,0.002787540927496
122,VIDEO_18112022161652_1668768412997_EAR.csv,0,23,4.65217,0.05944,0.41765,2.6565,0.0248,0.0338,0.0000,0.0254,0.0000,0.166149068322981,0.004124960413214
123,VIDEO_18112022161751_1668768471990_EAR.csv,0,12,2.91667,0.01944,0.44858,0.3053,0.0087,0.0254,0.0000,0.0253,0.0000,0.104166666666667,0.000908575352836
124,VIDEO_18112022161851_1668768531146_EAR.csv,34,26,6.03846,0.08722,0.42938,5.8799,0.0375,0.0225,1.0000,0.0254,1.0000,0.215659340659341,0.00807682798886
125,VIDEO_18112022161949_1668768589999_EAR.csv,0,15,5.53333,0.04611,0.48538,1.8576,0.0224,0.0233,0.0000,0.0254,0.0000,0.197619047619048,0.004422970527846
126,VIDEO_18112022162049_1668768649236_EAR.csv,0,22,5.45455,0.06667,0.47243,3.7794,0.0315,0.0250,1.0000,0.0254,1.0000,0.194805194805195,0.006135403089127
127,VIDEO_18112022162148_1668768708429_EAR.csv,10,23,5.17391,0.06611,0.47516,3.7382,0.0314,0.0307,1.0000,0.0255,1.0000,0.184782608695652,0.005804677571679
128,VIDEO_18112022162247_1668768767527_EAR.csv,21,39,3.15385,0.06833,0.44966,3.7794,0.0307,0.0290,1.0000,0.0255,1.0000,0.112637362637363,0.003460991243506
129,VIDEO_18112022162346_1668768826604_EAR.csv,0,36,3.63889,0.07278,0.41215,3.9294,0.0300,0.0309,0.0000,0.0255,1.0000,0.129960317460317,0.003898182766109
130,VIDEO_18112022162445_1668768885444_EAR.csv,0,35,3.60000,0.07000,0.42785,3.7737,0.0299,0.0305,0.0000,0.0256,1.0000,0.128571428571429,0.003850665647389
131,VIDEO_18112022162544_1668768944439_EAR.csv,0,37,4.10811,0.08444,0.41020,5.2651,0.0346,0.0313,1.0000,0.0256,1.0000,0.146718146718147,0.005082163975599
132,VIDEO_18112022162643_1668769003573_EAR.csv,0,45,4.15556,0.10389,0.37385,7.2628,0.0388,0.0334,1.0000,0.0257,1.0000,0.148412698412698,0.005764141457752
