FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
100,0.3968849895261168,0.348429764633964,0.37265737708004043,[0.60389555 0.46502244],[0.63399452 0.44548678],[0.66104579 0.44904125],[0.67515957 0.46146974],[0.65651393 0.4755621 ],[0.62983435 0.47492653]
101,0.39651862017864775,0.3579874676104003,0.377253043894524,[0.60393083 0.46431652],[0.63452214 0.44504678],[0.66194862 0.44898722],[0.6759764  0.46137121],[0.65704292 0.47574335],[0.63003975 0.4746902 ]
102,0.4033845059351366,0.3450366245775083,0.37421056525632246,[0.60396028 0.46428481],[0.63448232 0.44447815],[0.66197044 0.44824633],[0.67598504 0.46079487],[0.65732265 0.47547466],[0.6302402  0.47473559]
103,0.38850542554804923,0.34623545020319363,0.3673704378756214,[0.60493028 0.46555269],[0.6350041  0.44785914],[0.6615721  0.45152068],[0.67556322 0.4626807 ],[0.65753227 0.47723025],[0.63083005 0.47645903]
104,0.3943768312814634,0.3394033585779676,0.36689009492971547,[0.60625249 0.46599215],[0.63622451 0.44733584],[0.66301662 0.45107156],[0.67714143 0.46301162],[0.65845925 0.47734833],[0.63190705 0.47631019]
105,0.3943200828143011,0.345839171403457,0.37007962710887904,[0.60803992 0.46615416],[0.63761652 0.44789639],[0.66423732 0.45151898],[0.67822284 0.46290261],[0.65992135 0.47749579],[0.63354224 0.47668505]
106,0.39334159439472255,0.3391319366717692,0.3662367655332459,[0.60925812 0.46579722],[0.6386649  0.44847715],[0.66477418 0.45260578],[0.67830348 0.46348864],[0.66029269 0.47794527],[0.63414782 0.47673282]
107,0.3909338901503053,0.34393815899758223,0.36743602457394375,[0.61020482 0.4672696 ],[0.6389358  0.45008031],[0.66412491 0.45386535],[0.67757207 0.46438634],[0.6599893  0.47844714],[0.63463199 0.47753832]
108,0.40147185292107207,0.3364877254653199,0.36897978919319596,[0.61327219 0.46832055],[0.64232516 0.45015585],[0.66845047 0.45342878],[0.68169689 0.46424556],[0.66423827 0.47944796],[0.63822764 0.47854224]
109,0.3973851380643344,0.34621321817645084,0.37179917812039265,[0.61670989 0.46917859],[0.6459412  0.45079839],[0.67231029 0.45398474],[0.68577135 0.46493417],[0.6677835  0.48009408],[0.64152294 0.47894645]
110,0.40710894525032415,0.3525339620362121,0.37982145364326814,[0.61987978 0.47048861],[0.64881492 0.45097339],[0.67509949 0.45369953],[0.68847489 0.46458167],[0.67056692 0.48027346],[0.64456362 0.47976154]
111,0.4090455252202636,0.33642536221972136,0.37273544371999245,[0.62314475 0.47009903],[0.65173835 0.45108986],[0.67780006 0.4536829 ],[0.6906473  0.46445066],[0.67326123 0.48000625],[0.64734769 0.47945651]
112,0.41206373741379715,0.342625637043036,0.3773446872284166,[0.62482274 0.46996909],[0.65393448 0.45081121],[0.68032485 0.4536927 ],[0.69262636 0.46493599],[0.67520767 0.48023912],[0.64900112 0.47938591]
113,0.39558036418480985,0.3397234044754018,0.3676518843301058,[0.62643969 0.46872684],[0.6561926  0.45181865],[0.68259501 0.45564809],[0.69466972 0.46618372],[0.67749655 0.48102462],[0.65096498 0.47946349]
114,0.4177023648294916,0.33134636339632195,0.3745243641129068,[0.62855977 0.47002205],[0.65841377 0.45067039],[0.68514442 0.45406982],[0.69712943 0.46568257],[0.68021148 0.48107833],[0.65347695 0.48020333]
115,0.40018246804404234,0.3365797513261094,0.36838110968507587,[0.63417751 0.469688  ],[0.66208214 0.45312095],[0.68707854 0.45618296],[0.69889027 0.46587932],[0.68310028 0.4807252 ],[0.65786111 0.47981009]
116,0.4028718900658079,0.3327499920218328,0.3678109410438204,[0.6372875  0.46901309],[0.66527218 0.45229578],[0.69072604 0.45522204],[0.7025677  0.46459705],[0.68654042 0.48018625],[0.66098392 0.47936487]
117,0.41960478467179946,0.3289716961174701,0.3742882403946348,[0.64181459 0.469069  ],[0.66877937 0.45243549],[0.69328719 0.45556843],[0.70479381 0.46494853],[0.68897241 0.48064601],[0.6643523  0.47959676]
118,0.4181721089827021,0.3447266630752205,0.3814493860289613,[0.64428061 0.46954799],[0.67181557 0.45174545],[0.69766563 0.45456794],[0.70946485 0.46509683],[0.69354534 0.48053035],[0.66801953 0.4798463 ]
119,0.41360920886260844,0.3435107761907543,0.3785599925266814,[0.64937818 0.46997705],[0.67683351 0.45161799],[0.7027142 0.4540678],[0.7138834  0.46498388],[0.69858146 0.47947368],[0.67323053 0.47916305]
