FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
107,0.22632143745495398,0.2775403320523165,0.25193088475363523,[0.45776129 0.33040026],[0.47934535 0.32298741],[0.49965709 0.3243472 ],[0.51419324 0.32887855],[0.49468204 0.33602092],[0.47464976 0.3349629 ],0.3950415849685669,0.38896358013153076,1663311799039
108,0.22503246116610578,0.2830810899098051,0.2540567755379554,[0.46014273 0.33165237],[0.4818584  0.32409096],[0.50271881 0.3252238 ],[0.51810884 0.33021984],[0.49817437 0.33740741],[0.47746918 0.33642626],0.39662879705429077,0.3899990916252136,1663311799056
109,0.22173011528251313,0.21494960791933418,0.21833986160092367,[0.46075425 0.33329904],[0.48307699 0.32556739],[0.50422162 0.32689071],[0.51916516 0.33185405],[0.49927378 0.3387244 ],[0.47828394 0.3377423 ],0.39524394273757935,0.39342260360717773,1663311799071
110,0.22265634200577528,0.24633561057479364,0.23449597629028446,[0.46635681 0.33227998],[0.4887864  0.32447806],[0.51018298 0.32517824],[0.52548039 0.33003625],[0.50549412 0.33755273],[0.48422295 0.33677286],0.401534765958786,0.39427638053894043,1663311799088
111,0.21943457184829535,0.17490908548382267,0.197171828666059,[0.47265834 0.33404779],[0.49308398 0.32643214],[0.51292175 0.32750106],[0.52724051 0.33229533],[0.50887573 0.33860725],[0.48942447 0.3380143 ],0.40885135531425476,0.3928227126598358,1663311799104
112,0.17908852512469162,0.27761205710883213,0.22835029111676186,[0.47570634 0.33422577],[0.49631914 0.32978535],[0.51571304 0.33221406],[0.53005397 0.33621043],[0.51046985 0.34030905],[0.49135545 0.33827513],0.40990114212036133,0.3929278552532196,1663311799123
113,0.20797727456999782,0.29049036219248464,0.24923381838124123,[0.47947553 0.33671501],[0.50037009 0.33103281],[0.5202449  0.33303282],[0.53436089 0.33773968],[0.51509035 0.34316918],[0.49582645 0.34155589],0.4095604419708252,0.39469265937805176,1663311799139
114,0.22028390215099783,0.24077421278860528,0.23052905746980157,[0.48508137 0.33695549],[0.5067215  0.33102739],[0.52708489 0.33363888],[0.54158574 0.33944401],[0.52204418 0.34489077],[0.50211179 0.34274179],0.4127282202243805,0.3939010798931122,1663311799154
115,0.2316398132427993,0.192510262520413,0.21207503788160614,[0.48763099 0.33373749],[0.50726908 0.32769683],[0.52640361 0.3302058 ],[0.54076862 0.33647585],[0.52163219 0.34139365],[0.50301504 0.33943731],0.41679075360298157,0.38867828249931335,1663311799170
116,0.23915727861158537,0.2424261986728676,0.24079173864222647,[0.48860058 0.33473799],[0.50734276 0.32831478],[0.52604985 0.33105838],[0.5406608  0.33798212],[0.52069527 0.34222183],[0.50276399 0.34001932],0.41932323575019836,0.3862074613571167,1663311799187
117,0.2497500036450755,0.23769201506113855,0.24372100935310703,[0.48077923 0.33482203],[0.49911046 0.32825902],[0.51722807 0.33100992],[0.53162098 0.33799121],[0.51123261 0.34221554],[0.49397972 0.33991587],0.41619861125946045,0.39004209637641907,1663311799204
118,0.25036795932426487,0.2916970094947848,0.2710324844095248,[0.4834888 0.3346673],[0.50114459 0.32790098],[0.51895767 0.33039382],[0.53334194 0.33747059],[0.51370811 0.34170678],[0.49673006 0.33962873],0.41804882884025574,0.3873434066772461,1663311799222
119,0.25307419031446954,0.20329217399241128,0.2281831821534404,[0.48315212 0.32996541],[0.49999627 0.32342756],[0.51691538 0.32613122],[0.53148216 0.33327246],[0.51155096 0.3370418 ],[0.49540347 0.33490402],0.418124258518219,0.38174325227737427,1663311799240
120,0.19946520437996249,0.15883097091467496,0.1791480876473187,[0.49155185 0.32401827],[0.51271278 0.31956321],[0.53178191 0.32284975],[0.54527932 0.32872254],[0.5267216  0.33211285],[0.50767082 0.32929501],0.4247477054595947,0.3741646111011505,1663311799258
