FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
117,0.41832209390694947,0.3287194124436926,0.3735207531753211,[0.64185381 0.46907043],[0.6687814 0.4524956],[0.69325393 0.45560145],[0.70480198 0.46495128],[0.68898284 0.4806    ],[0.66439241 0.47955909]
118,0.4183547988983615,0.34475986825567967,0.3815573335770206,[0.64425963 0.46952057],[0.67181349 0.45172966],[0.69767964 0.45454618],[0.70945632 0.46505791],[0.69355255 0.48053628],[0.66801023 0.47983611]
119,0.4135979250049727,0.3428589503286605,0.3782284376668166,[0.64946884 0.47003374],[0.67691356 0.45171446],[0.70279217 0.45415092],[0.71395379 0.46509182],[0.6986782  0.47957245],[0.67333114 0.47922805]
120,0.4169720681121625,0.3214619572476961,0.3692170126799293,[0.65396428 0.46952489],[0.68075269 0.45188594],[0.70625252 0.4546144 ],[0.71767867 0.46551988],[0.70252746 0.47989118],[0.67758512 0.47939348]
121,0.41482720628128456,0.3291857541450138,0.3720064802131492,[0.65591371 0.46874189],[0.68310839 0.45156547],[0.70840281 0.45434916],[0.71931654 0.46488741],[0.70423979 0.4793416 ],[0.67919403 0.47864681]
122,0.4105138163531024,0.3601122426907799,0.38531302952194113,[0.6606524  0.46934375],[0.68744916 0.45310521],[0.71220839 0.4560473 ],[0.7225889 0.4668377],[0.70784247 0.48034012],[0.6833809  0.47899872]
123,0.41696561836523843,0.3647599097643056,0.39086276406477205,[0.66694713 0.46766919],[0.69262886 0.45159519],[0.71700239 0.45449024],[0.72706127 0.46526542],[0.71354067 0.47828689],[0.68973035 0.4775579 ]
124,0.443496635590969,0.3643047115967769,0.40390067359387294,[0.67432272 0.46879843],[0.69827896 0.4524276 ],[0.72105485 0.45516977],[0.73039818 0.4660112 ],[0.71783292 0.47881737],[0.69554973 0.47821745]
125,0.46138910627741986,0.348073210787816,0.40473115853261793,[0.67830467 0.46880767],[0.70220578 0.45203516],[0.72525704 0.45451364],[0.73410374 0.46623698],[0.72227156 0.47907674],[0.69985121 0.47873244]
126,0.47025689620253447,0.36092466034633225,0.41559077827443336,[0.68332088 0.46967262],[0.70647895 0.45279074],[0.72932351 0.45496517],[0.73805493 0.46659935],[0.72634447 0.47964615],[0.70433861 0.47940391]
